A Noble Quest | Description | A Noble Quest is an atlas passive skill that affects Expedition encounters.
Leader of the Pack | Anointment | Blight anointment to unlock the passive:
Leadership | Description | Leadership is a notable passive skill that grants increased area of effect for auras and increased effect magnitude of auras you cast.
Leadership | Anointment | Blight anointment to unlock the passive:
Aul Bloodline that allows the user to allocate The King's Contempt , The King's Heritage , or The King's Might | Legacy of the King | Description | Deceitful Servant is a notable Ascendancy passive skill for the Aul Bloodline that allows the user to allocate The King's Contempt , The King's Heritage , or The King's Might.
Legacy of the Vaal | Description | Legacy of the Vaal is a passive skill notable only granted by Glorious Vanity. The node will grant the effects of four random Glorious Vanity small passive skills.
Legacy of the Wilds | Description | Legacy of the Wilds is a notable passive skill that increase a tincture 's effect if you have received at least 10 stacks of Mana Burn from that tincture.
Legacy of the Wilds | Description | You can only acquire this passive through Anointment (using Oils ) on an Amulet or valid Blight Unique item.
Legacy of the Wilds | Anointment | Blight anointment to unlock the passive:
Legion Monolith Chance | Description | Legion Monolith Chance is an atlas passive skill. It increases the chance of maps containing Legion encounters and increases the relative drop rate of Legion Scarabs.
Warden of the Maji that grants additional effects related to the stackable Bark buff from Barkskin | Lesson of the Seasons (Warden of the Maji) | Description | Lesson of the Seasons is a notable Ascendancy passive skill for the Warden of the Maji that grants additional effects related to the stackable Bark buff from Barkskin. The player gains reduced duration of damaging ailments per stack and non-damaging ailment avoidance per missing stack.
Lethality | Description | Lethality is a notable passive skill that grants additional critical strike chance and additional critical strike multiplier to projectile attack skills.
Lethality | Anointment | Blight anointment to unlock the passive:
Lethe Shade | Description | Lethe Shade is a keystone passive skill which enables you to take 50% less Damage over Time if you've started taking Damage over Time in the past second, at the cost of having 100% more Duration of Ailments on you.
Lethe Shade | Mechanics | Ailments that are reflected back onto the character such as through The Fulcrum or Maligaro's Restraint are unaffected by Lethe Shade's Ailment Duration modifier. [1]
Lethe Shade | Location | Lethe Shade lies on the upper right area of the tree, next to the Growth and Decay Notable passive skill.
Life from Death | Description | Life from Death is a notable passive skill only found on Medium Cluster Jewels. The notable grants increased minion maximum life, life regeneration if a minion has died Recently , and minion life recovery upon minion death.
Life from Death | Unique items | The following unique items are related to Life from Death:
Life Raker | Description | Life Raker is a claw related notable passive skill.
Life Raker | Anointment | Blight anointment to unlock the passive:
Light Eater | Description | Light Eater is a notable passive skill that grants a percentage of spell damage dealt as energy shield leech. It also grants increased maximum total recovery per second from energy shield leech and increased damage while on full energy shield.
Light Eater | Anointment | Blight anointment to unlock the passive:
Light of Divinity | Description | Light of Divinity is a notable passive skill that grants increased spell damage , increased critical strike chance for spells , and increased light radius. It also grants additional strength and intelligence.
Light of Divinity | Anointment | Blight anointment to unlock the passive:
Lightless Legion | Description | Lightless Legion was an atlas passive skill that add +3 monster level to Abyssal Depths so that the item level also increased, with a "downside" of increased pack size and number of monsters, as well as "harder" boss fight due to monster level scaling.
Lightless Legion | Location | Before its removal, it is located in a cluster on the right side of the tree. Awakened Depths is on the same Abyss cluster. The Votive Hoard - Abyssal Army cluster is few small nodes away.
Lightning Walker | Description | Lightning Walker is a notable passive skill that grants increased lightning damage , increased cast speed with lightning skills , and additional lightning resistance.
Lightning Walker | Anointment | Blight anointment to unlock the passive:
Lioneye's Focus | Description | Lioneye's Focus is a notable passive skill added by the Elegant Hubris jewel.
Liquid Inspiration | Description | Liquid Inspiration is a notable passive skill. It can only appear when placing cluster jewels into the player character's skill tree.
Liquid Inspiration | Description | It only spawns from a Small Cluster Jewel with the enchantment Added Small Passive Skills grant: 6% increased maximum Mana or a Medium Cluster Jewel with the enchantment Added Small Passive Skills grant: 6% increased Flask Effect Duration.
Liquid Inspiration | Unique items | The following unique items are related to Liquid Inspiration:
Logistical Support | Description | Logistical Support is an atlas passive skill.
Logistical Support | Mechanics | Legion monsters in your maps with rewards have a chance to gain two additional rewards, and if that fails they have a chance to gain an additional reward. Each additional reward on Legion monsters grants them more life.
